0	0	1377	0
0	0	1442	0
0	0	1406	0
0	0	1274	2
0	0	1071	3
0	0	832	4
0	0	587	4
0	13	368	4
0	48	207	3
0	108	96	1
0	198	30	0
0	317	0	0
2	444	0	0
3	559	0	0
5	638	0	2
5	667	0	5
5	640	0	8
4	562	0	7
2	453	0	7
1	329	0	7
0	211	0	13
0	121	0	40
0	58	0	100
0	20	0	193
0	1	0	318
0	2	0	463
0	6	0	605
0	7	0	721
0	7	0	790
0	8	5	799
0	9	44	746
1	10	123	639
4	15	248	497
7	24	421	343
12	36	639	209
18	47	857	108
22	56	1044	42
23	59	1164	7
19	55	1196	0
14	46	1133	0
9	33	984	0
3	21	779	0
0	11	553	0
13	6	346	0
56	7	190	0
135	14	82	0
256	23	21	0
422	33	0	0
621	42	0	2
822	49	0	8
996	54	0	14
1115	59	0	17
1157	65	0	17
1113	74	0	16
991	85	0	14
813	98	0	27
607	112	0	69
404	126	0	150
239	137	0	270
121	146	0	424
47	151	0	590
8	151	0	741
0	144	2	849
0	134	3	896
0	125	5	872
0	123	6	783
0	139	6	647
0	185	4	488
0	265	3	331
0	380	1	198
0	520	0	103
0	669	0	42
0	801	0	10
0	894	0	0
0	929	0	0
6	898	0	0
33	806	0	3
83	671	0	8
157	516	0	15
256	366	4	23
